Tanggal,Waktu,Tekanan
2018-03-01,17:04:57,990
2018-03-01,17:07:29,1151
2018-03-01,17:10:07,1166
2018-03-01,17:12:39,1737
2018-03-01,17:15:15,1253
2018-03-01,17:17:46,1166
2018-03-01,17:20:24,1151
2018-03-01,17:22:55,1517
2018-03-01,17:25:32,1209
2018-03-01,17:28:04,1312
2018-03-01,17:33:17,1620
2018-03-01,17:35:55,1224
2018-03-01,17:38:27,1283
2018-03-01,17:41:02,1253
2018-03-01,17:43:34,1195
2018-03-01,17:46:09,931
2018-03-01,17:48:41,1327
2018-03-01,17:51:18,1312
2018-03-01,17:53:48,1078
2018-03-01,17:56:25,1327
2018-03-01,17:58:57,1253
2018-03-01,18:01:34,1356
2018-03-01,18:04:06,1766
2018-03-01,18:06:44,1429
2018-03-01,18:09:18,1415
2018-03-01,18:11:56,1825
2018-03-01,18:14:30,1766
2018-03-01,18:17:01,1737
2018-03-01,18:19:39,1444
2018-03-01,18:22:11,1356
2018-03-01,18:27:19,1473
2018-03-01,18:29:52,1107
2018-03-01,18:32:28,1927
2018-03-01,18:35:07,1356
2018-03-01,18:37:43,1312
2018-03-01,18:40:20,1517
2018-03-01,18:42:51,1678
2018-03-01,18:45:23,1371
2018-03-01,18:47:57,1458
2018-03-01,18:50:28,1400
2018-03-01,18:53:02,1356
2018-03-01,18:55:34,1825
2018-03-01,18:58:08,1605
2018-03-01,19:00:39,1517
2018-03-01,19:03:14,1546
2018-03-01,19:05:46,1693
2018-03-01,19:08:21,1620
2018-03-01,19:10:52,1620
2018-03-01,19:13:26,1986
2018-03-01,19:15:58,2030
2018-03-01,19:18:36,1502
2018-03-01,19:21:11,1620
2018-03-01,19:23:47,1605
2018-03-01,19:26:19,2015
2018-03-01,19:28:52,1693
2018-03-01,19:31:25,1590
2018-03-01,19:34:02,1781
2018-03-01,19:36:33,1546
2018-03-01,19:39:07,1898
2018-03-01,19:41:38,1839
2018-03-01,19:44:10,1869
2018-03-01,19:46:48,1913
2018-03-01,19:49:19,2206
2018-03-01,19:51:55,1722
2018-03-01,19:54:29,2147
2018-03-01,19:57:04,1795
2018-03-01,19:59:37,1825
2018-03-01,20:02:12,2499
2018-03-01,20:04:44,2381
2018-03-01,20:10:43,1927
2018-03-01,20:13:12,2396
2018-03-01,20:15:47,1839
2018-03-01,20:18:17,2279
2018-03-01,20:20:51,1927
2018-03-01,20:23:26,1839
2018-03-01,20:26:02,1737
2018-03-01,20:28:39,1839
2018-03-01,20:31:11,2279
2018-03-01,20:33:48,1839
2018-03-01,20:36:20,2118
2018-03-01,20:38:55,1825
2018-03-01,20:41:29,2542
2018-03-01,20:44:07,1634
2018-03-01,20:46:38,2279
2018-03-01,20:51:45,2088
2018-03-01,20:54:18,1693
2018-03-01,20:56:50,1678
2018-03-01,20:59:23,1341
2018-03-01,21:01:55,2103
2018-03-01,21:04:28,1649
2018-03-01,21:07:00,1532
2018-03-01,21:09:37,1576
2018-03-01,21:12:09,1458
2018-03-01,21:14:43,1546
2018-03-01,21:17:16,1532
2018-03-01,21:19:49,1693
2018-03-01,21:22:25,1605
2018-03-01,21:24:57,1737
2018-03-01,21:27:31,1136
2018-03-01,21:30:02,1034
2018-03-01,21:32:30,1078
2018-03-01,21:35:12,1224
2018-03-01,21:37:49,1019
2018-03-01,21:40:28,799
2018-03-01,21:43:06,1209
2018-03-01,21:48:22,345
2018-03-01,21:51:02,594
2018-03-01,21:53:37,1546
2018-03-01,21:56:14,726
2018-03-01,21:58:50,829
2018-03-01,22:01:24,506
2018-03-01,22:04:02,536
2018-03-01,22:06:54,594
2018-03-01,22:09:31,404
2018-03-01,22:12:09,433
2018-03-01,22:14:44,580
2018-03-01,22:17:20,565
2018-03-01,22:22:33,462
2018-03-01,22:25:09,477
2018-03-01,22:27:47,477
2018-03-01,22:33:05,375
2018-03-01,22:35:40,448
2018-03-01,22:38:19,331
2018-03-01,22:41:00,477
2018-03-01,22:43:35,360
2018-03-01,22:46:19,418
2018-03-01,22:48:55,418
2018-03-01,22:51:31,331
2018-03-01,22:54:07,301
2018-03-01,22:56:45,418
2018-03-01,22:59:21,785
2018-03-01,23:01:57,301
2018-03-01,23:04:29,448
2018-03-01,23:07:07,448
2018-03-01,23:09:42,565
2018-03-01,23:12:15,404
2018-03-01,23:14:51,404
2018-03-01,23:17:27,433
2018-03-01,23:20:03,213
2018-03-01,23:22:40,184
2018-03-01,23:25:16,184
2018-03-01,23:27:53,360
2018-03-01,23:30:32,272
2018-03-01,23:33:08,433
2018-03-01,23:35:43,301
2018-03-01,23:38:23,477
2018-03-01,23:40:58,331
2018-03-01,23:43:33,418
2018-03-01,23:46:15,697
2018-03-01,23:48:57,433
2018-03-01,23:51:34,433
2018-03-01,23:54:10,418
2018-03-01,23:56:48,404
2018-03-01,23:59:27,375
2018-03-02,00:01:59,169
2018-03-02,00:04:35,331
2018-03-02,00:07:13,331
2018-03-02,00:09:52,257
2018-03-02,00:12:27,228
2018-03-02,00:15:09,492
2018-03-02,00:17:47,287
2018-03-02,00:20:24,433
2018-03-02,00:23:03,140
2018-03-02,00:25:39,184
2018-03-02,00:28:16,843
2018-03-02,00:30:51,448
2018-03-02,00:33:23,360
2018-03-02,00:36:01,418
2018-03-02,00:38:35,331
2018-03-02,00:41:09,462
2018-03-02,00:43:41,375
2018-03-02,00:48:47,404
2018-03-02,00:51:25,799
2018-03-02,00:53:56,975
2018-03-02,00:56:33,360
2018-03-02,00:59:03,873
2018-03-02,01:01:38,462
2018-03-02,01:04:13,448
2018-03-02,01:06:45,711
2018-03-02,01:09:24,404
2018-03-02,01:11:55,228
2018-03-02,01:17:06,858
2018-03-02,01:19:42,448
2018-03-02,01:22:26,404
2018-03-02,01:25:02,331
2018-03-02,01:27:35,814
2018-03-02,01:30:11,799
2018-03-02,01:32:45,653
2018-03-02,01:35:20,331
2018-03-02,01:37:52,1107
2018-03-02,01:40:29,389
2018-03-02,01:43:01,492
2018-03-02,01:45:37,404
2018-03-02,01:48:21,433
2018-03-02,01:50:58,433
2018-03-02,01:53:34,653
2018-03-02,01:58:48,448
2018-03-02,02:01:22,433
2018-03-02,02:03:57,360
2018-03-02,02:06:32,228
2018-03-02,02:09:04,492
2018-03-02,02:11:41,536
2018-03-02,02:14:12,301
2018-03-02,02:16:45,492
2018-03-02,02:19:18,477
2018-03-02,02:21:54,521
2018-03-02,02:24:28,389
2018-03-02,02:27:06,360
2018-03-02,02:29:40,448
2018-03-02,02:32:15,331
2018-03-02,02:34:50,448
2018-03-02,02:37:24,404
2018-03-02,02:39:58,418
2018-03-02,02:42:33,448
2018-03-02,02:45:13,506
2018-03-02,02:47:45,462
2018-03-02,02:50:17,887
2018-03-02,02:52:52,887
2018-03-02,02:55:22,448
2018-03-02,03:00:28,477
2018-03-02,03:03:05,462
2018-03-02,03:05:38,492
2018-03-02,03:08:13,433
2018-03-02,03:10:47,433
2018-03-02,03:13:24,506
2018-03-02,03:15:57,697
2018-03-02,03:18:31,448
2018-03-02,03:21:02,594
2018-03-02,03:26:12,506
2018-03-02,03:28:48,433
2018-03-02,03:31:20,477
2018-03-02,03:33:58,843
2018-03-02,03:36:33,1048
2018-03-02,03:39:10,1004
2018-03-02,03:41:43,667
2018-03-02,03:44:19,565
2018-03-02,03:49:25,609
2018-03-02,03:51:57,638
2018-03-02,03:54:33,624
2018-03-02,03:57:08,638
2018-03-02,03:59:45,462
2018-03-02,04:02:17,550
2018-03-02,04:04:51,682
2018-03-02,04:07:24,594
2018-03-02,04:09:58,638
2018-03-02,04:12:37,536
2018-03-02,04:15:11,902
2018-03-02,04:17:46,638
2018-03-02,04:20:20,624
2018-03-02,04:23:01,521
2018-03-02,04:25:42,785
2018-03-02,04:28:20,477
2018-03-02,04:30:50,565
2018-03-02,04:35:57,521
2018-03-02,04:38:33,580
2018-03-02,04:41:12,433
2018-03-02,04:43:46,667
2018-03-02,04:46:18,477
2018-03-02,04:49:02,624
2018-03-02,04:51:33,580
2018-03-02,04:54:06,755
2018-03-02,04:56:43,594
2018-03-02,04:59:21,536
2018-03-02,05:01:57,536
2018-03-02,05:04:33,741
2018-03-02,05:07:10,536
2018-03-02,05:12:18,521
2018-03-02,05:14:53,843
2018-03-02,05:17:29,389
2018-03-02,05:20:03,1019
2018-03-02,05:22:37,1004
2018-03-02,05:25:11,536
2018-03-02,05:27:46,653
2018-03-02,05:30:19,638
2018-03-02,05:32:58,711
2018-03-02,05:35:31,960
2018-03-02,05:38:10,741
2018-03-02,05:41:01,960
2018-03-02,05:43:35,711
2018-03-02,05:46:09,1063
2018-03-02,05:48:44,799
2018-03-02,05:51:20,755
2018-03-02,05:53:55,785
2018-03-02,05:56:27,1136
2018-03-02,05:59:05,726
2018-03-02,06:01:36,1019
2018-03-02,06:04:11,1151
2018-03-02,06:06:41,667
2018-03-02,06:09:15,726
2018-03-02,06:11:50,1092
2018-03-02,06:17:12,653
2018-03-02,06:19:47,770
2018-03-02,06:22:21,711
2018-03-02,06:24:57,638
2018-03-02,06:27:33,843
2018-03-02,06:30:14,711
2018-03-02,06:32:46,1195
2018-03-02,06:35:23,697
2018-03-02,06:37:55,990
2018-03-02,06:40:29,799
2018-03-02,06:43:06,741
2018-03-02,06:45:38,697
2018-03-02,06:48:15,1371
2018-03-02,06:50:47,843
2018-03-02,06:53:25,814
2018-03-02,06:55:54,960
2018-03-02,06:58:28,770
2018-03-02,07:01:05,1092
2018-03-02,07:03:38,814
2018-03-02,07:06:13,931
2018-03-02,07:08:48,843
2018-03-02,07:11:21,770
2018-03-02,07:13:55,1034
2018-03-02,07:16:27,975
2018-03-02,07:19:00,1151
2018-03-02,07:21:32,1136
2018-03-02,07:24:05,858
2018-03-02,07:26:40,814
2018-03-02,07:29:12,755
2018-03-02,07:31:44,843
2018-03-02,07:34:19,799
2018-03-02,07:39:33,858
2018-03-02,07:42:05,887
2018-03-02,07:44:41,887
2018-03-02,07:47:14,1034
2018-03-02,07:49:49,755
2018-03-02,07:52:24,1063
2018-03-02,07:54:59,785
2018-03-02,08:00:14,682
2018-03-02,08:02:48,887
2018-03-02,08:05:19,799
2018-03-02,08:07:53,785
2018-03-02,08:10:28,1019
2018-03-02,08:13:02,843
2018-03-02,08:15:37,770
2018-03-02,08:18:10,653
2018-03-02,08:20:44,741
2018-03-02,08:23:17,1078
2018-03-02,08:25:50,726
2018-03-02,08:28:24,624
2018-03-02,08:30:58,931
2018-03-02,08:33:30,1195
2018-03-02,08:36:03,814
2018-03-02,08:38:35,931
2018-03-02,08:41:12,770
2018-03-02,08:43:49,741
2018-03-02,08:46:19,799
2018-03-02,08:48:51,667
2018-03-02,08:51:25,1034
2018-03-02,08:54:02,711
2018-03-02,08:56:39,565
2018-03-02,08:59:13,682
2018-03-02,09:01:49,873
2018-03-02,09:04:22,1004
2018-03-02,09:06:56,492
2018-03-02,09:09:30,682
2018-03-02,09:12:03,843
2018-03-02,09:14:38,609
2018-03-02,09:17:10,1195
2018-03-02,09:19:47,916
2018-03-02,09:22:24,550
2018-03-02,09:24:57,565
2018-03-02,09:27:33,624
2018-03-02,09:30:04,902
2018-03-02,09:32:41,931
2018-03-02,09:35:13,1019
2018-03-02,09:40:30,594
2018-03-02,09:43:08,565
2018-03-02,09:45:40,565
2018-03-02,09:50:49,448
2018-03-02,09:55:58,492
2018-03-02,09:58:33,946
2018-03-02,10:01:06,741
2018-03-02,10:03:39,536
2018-03-02,10:06:18,902
2018-03-02,10:08:47,814
2018-03-02,10:11:20,594
2018-03-02,10:13:56,609
2018-03-02,10:16:28,785
2018-03-02,10:19:01,873
2018-03-02,10:21:36,506
2018-03-02,10:24:09,433
2018-03-02,10:26:45,536
2018-03-02,10:29:17,726
2018-03-02,10:31:53,536
2018-03-02,10:34:31,462
2018-03-02,10:37:07,418
2018-03-02,10:39:39,477
2018-03-02,10:42:15,492
2018-03-02,10:44:50,389
2018-03-02,10:47:28,477
2018-03-02,10:49:58,653
2018-03-02,10:52:35,448
2018-03-02,10:55:09,404
2018-03-02,10:57:43,799
2018-03-02,11:00:18,345
2018-03-02,11:02:53,785
2018-03-02,11:05:32,243
2018-03-02,11:08:04,301
2018-03-02,11:10:41,389
2018-03-02,11:13:12,462
2018-03-02,11:15:45,697
2018-03-02,11:18:16,404
2018-03-02,11:21:10,301
2018-03-02,11:23:42,404
2018-03-02,11:26:17,213
2018-03-02,11:28:57,360
2018-03-02,11:34:06,418
2018-03-02,11:36:46,316
2018-03-02,11:39:18,418
2018-03-02,11:41:51,433
2018-03-02,11:44:30,814
2018-03-02,11:47:04,477
2018-03-02,11:49:36,433
2018-03-02,11:52:09,287
2018-03-02,11:54:43,462
2018-03-02,11:59:50,462
2018-03-02,12:05:02,887
2018-03-02,12:07:39,213
2018-03-02,12:10:41,594
2018-03-02,12:13:18,565
2018-03-02,12:15:52,521
2018-03-02,12:18:32,902
2018-03-02,12:23:47,624
2018-03-02,12:26:28,1195
2018-03-02,12:31:47,667
2018-03-02,12:34:21,609
2018-03-02,12:36:58,741
2018-03-02,12:42:01,799
2018-03-02,12:44:39,609
2018-03-02,12:47:15,1048
2018-03-02,12:49:52,726
2018-03-02,12:52:26,931
2018-03-02,12:54:59,580
2018-03-02,12:57:33,711
2018-03-02,13:00:14,785
2018-03-02,13:02:46,638
2018-03-02,13:05:23,726
2018-03-02,13:07:55,770
2018-03-02,13:10:29,1268
2018-03-02,13:13:01,1048
2018-03-02,13:15:38,741
2018-03-02,13:18:09,755
2018-03-02,13:20:46,829
2018-03-02,13:23:17,682
2018-03-02,13:25:56,873
2018-03-02,13:28:26,697
2018-03-02,13:33:35,1019
2018-03-02,13:36:12,770
2018-03-02,13:38:43,916
2018-03-02,13:41:19,711
2018-03-02,13:43:52,1122
2018-03-02,13:46:27,843
2018-03-02,13:48:59,1180
2018-03-02,13:54:12,755
2018-03-02,13:56:48,785
2018-03-02,13:59:20,755
2018-03-02,14:01:54,858
2018-03-02,14:04:29,1048
2018-03-02,14:07:05,858
2018-03-02,14:09:36,726
2018-03-02,14:14:48,1136
2018-03-02,14:17:24,931
2018-03-02,14:20:04,1151
2018-03-02,14:22:42,829
2018-03-02,14:25:16,858
2018-03-02,14:27:50,799
2018-03-02,14:30:23,785
2018-03-02,14:32:59,843
2018-03-02,14:35:32,726
2018-03-02,14:40:41,609
2018-03-02,14:43:17,799
2018-03-02,14:45:51,858
2018-03-02,14:48:27,873
2018-03-02,14:51:05,960
2018-03-02,14:56:19,799
2018-03-02,14:58:54,873
2018-03-02,15:01:27,814
2018-03-02,15:04:05,916
2018-03-02,15:06:34,1136
2018-03-02,15:09:09,843
2018-03-02,15:11:46,975
2018-03-02,15:14:22,873
2018-03-02,15:16:52,902
2018-03-02,15:19:30,887
2018-03-02,15:22:02,873
2018-03-02,15:24:38,873
2018-03-02,15:27:11,1180
2018-03-02,15:29:46,1458
2018-03-02,15:32:20,960
2018-03-02,15:34:56,990
2018-03-02,15:37:27,1415
2018-03-02,15:40:07,1048
2018-03-02,15:42:41,1019
2018-03-02,15:45:17,990
2018-03-02,15:47:48,1385
2018-03-02,15:50:26,1019
2018-03-02,15:52:57,1400
2018-03-02,15:55:32,990
2018-03-02,15:58:04,1078
2018-03-02,16:00:41,1063
2018-03-02,16:03:12,1151
2018-03-02,16:05:49,1151
2018-03-02,16:08:29,1224
2018-03-02,16:11:16,1048
2018-03-02,16:13:49,1136
2018-03-02,16:16:25,1341
2018-03-02,16:18:58,1151
2018-03-02,16:21:33,1253
2018-03-02,16:24:07,1297
2018-03-02,16:26:46,1224
2018-03-02,16:29:16,1869
2018-03-02,16:31:52,1327
2018-03-02,16:34:25,1620
2018-03-02,16:37:00,1708
2018-03-02,16:39:32,1283
2018-03-02,16:42:14,1356
2018-03-02,16:44:45,1781
2018-03-02,16:47:21,1341
2018-03-02,16:49:53,1209
2018-03-02,16:52:27,1312
2018-03-02,16:55:00,1444
2018-03-02,16:57:38,1268
2018-03-02,17:00:09,1502
2018-03-02,17:05:17,1766
2018-03-02,17:07:56,1415
2018-03-02,17:10:40,1517
2018-03-02,17:13:19,1371
2018-03-02,17:15:50,1532
2018-03-02,17:18:26,1605
2018-03-02,17:20:59,1839
2018-03-02,17:23:34,1590
2018-03-02,17:26:06,1546
2018-03-02,17:28:46,1546
2018-03-02,17:31:17,2000
2018-03-02,17:33:53,1664
2018-03-02,17:36:27,1825
2018-03-02,17:39:01,1678
2018-03-02,17:41:36,2030
2018-03-02,17:44:12,1546
2018-03-02,17:46:45,1693
2018-03-02,17:49:18,1839
2018-03-02,17:51:52,2235
2018-03-02,17:54:27,1898
2018-03-02,17:56:59,2059
2018-03-02,17:59:36,1913
2018-03-02,18:02:05,1971
2018-03-02,18:07:13,1927
2018-03-02,18:09:46,1781
2018-03-02,18:12:19,2542
2018-03-02,18:14:56,2191
2018-03-02,18:17:30,2499
2018-03-02,18:20:05,2279
2018-03-02,18:22:36,2250
2018-03-02,18:27:41,2528
2018-03-02,18:30:14,2250
2018-03-02,18:35:29,2396
2018-03-02,18:38:00,2674
2018-03-02,18:40:38,2132
2018-03-02,18:43:09,2367
2018-03-02,18:45:46,2132
2018-03-02,18:48:16,2191
2018-03-02,18:50:49,2132
2018-03-02,18:53:21,2674
2018-03-02,18:59:15,2616
2018-03-02,19:01:44,2147
2018-03-02,19:07:53,2337
2018-03-02,19:10:30,2264
2018-03-02,19:13:07,2704
2018-03-02,19:15:57,2279
2018-03-02,19:18:31,2220
2018-03-02,19:21:04,2293
2018-03-02,19:23:41,2308
2018-03-02,19:26:12,2293
2018-03-02,19:28:49,2630
